Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ
1,0,0.988768,2.604380,2.088757,-96.686523,227.046860,127.809944,0.944727,2.256377,2.159344,147.682755,216.008286,125.660286
2,0,0.988643,2.604290,2.088892,-96.686348,227.045258,127.800438,0.944832,2.256334,2.159309,147.679260,216.007538,125.663162
3,0,0.988755,2.604289,2.088911,-96.684807,227.044479,127.799911,0.944727,2.256303,2.159403,147.683777,216.006836,125.659149
4,0,0.988804,2.604220,2.088839,-96.683823,227.046249,127.796692,0.944715,2.256321,2.159283,147.681137,216.008423,125.658142
5,0,0.989229,2.604267,2.088994,-96.681938,227.046631,127.794952,0.944583,2.256411,2.159188,147.685181,216.008545,125.654533
6,0,0.988538,2.604269,2.088599,-96.683662,227.046432,127.795784,0.944751,2.256330,2.159382,147.683777,216.008560,125.650108
7,0,0.988817,2.604276,2.088816,-96.684525,227.044754,127.790215,0.944583,2.256353,2.159317,147.683014,216.009735,125.655502
8,0,0.988666,2.604288,2.088726,-96.685829,227.044205,127.789986,0.944880,2.256354,2.159423,147.683838,216.008789,125.651672
9,0,0.988678,2.604289,2.088869,-96.683632,227.043427,127.789291,0.944734,2.256358,2.159323,147.683762,216.011688,125.650810
10,0,0.988808,2.604369,2.088719,-96.679787,227.044022,127.789261,0.944863,2.256397,2.159231,147.688492,216.006821,125.644821
11,0,0.988777,2.604275,2.088826,-96.680161,227.044113,127.792252,0.944595,2.256373,2.159232,147.686829,216.007050,125.652908
12,0,0.988850,2.604400,2.088554,-96.678375,227.047791,127.800461,0.944573,2.256365,2.159285,147.689194,216.012558,125.657173
13,0,0.988713,2.604241,2.088959,-96.677841,227.047363,127.803444,0.944605,2.256292,2.159421,147.692215,216.013306,125.663040
14,0,0.988628,2.604216,2.088797,-96.678513,227.047104,127.806961,0.944816,2.256307,2.159356,147.694229,216.010803,125.667961
15,0,0.988918,2.604272,2.088948,-96.677620,227.048096,127.808662,0.944886,2.256291,2.159505,147.687683,216.012939,125.669983
16,0,0.988693,2.604240,2.088773,-96.681709,227.047379,127.813400,0.944608,2.256337,2.159281,147.685883,216.008911,125.673416
17,0,0.988770,2.604305,2.088919,-96.684235,227.045120,127.818779,0.944628,2.256354,2.159261,147.681702,216.014984,125.681595
18,0,0.988684,2.604277,2.088626,-96.686623,227.050995,127.827240,0.944754,2.256353,2.159342,147.681412,216.016815,125.681190
19,0,0.988396,2.604282,2.088816,-96.690048,227.049149,127.824768,0.944876,2.256328,2.159311,147.678070,216.014404,125.685852
20,0,0.988820,2.604258,2.088800,-96.692345,227.051025,127.830490,0.944764,2.256334,2.159364,147.675476,216.016083,125.689163
21,0,0.988847,2.604309,2.088826,-96.694077,227.048813,127.825050,0.944839,2.256306,2.159382,147.671112,216.014572,125.686050
22,0,0.988943,2.604346,2.088854,-96.693085,227.052338,127.823311,0.944857,2.256276,2.159410,147.672882,216.015396,125.683846
23,0,0.988672,2.604177,2.088944,-96.694969,227.048492,127.822754,0.944838,2.256336,2.159343,147.670303,216.015976,125.683052
24,0,0.988638,2.604360,2.088647,-96.694901,227.053513,127.821938,0.944788,2.256309,2.159353,147.668503,216.018631,125.678329
25,0,0.988838,2.604312,2.088876,-96.692429,227.051025,127.817642,0.944677,2.256349,2.159185,147.668854,216.017227,125.678925
26,0,0.988679,2.604210,2.088895,-96.694878,227.050735,127.814308,0.944905,2.256328,2.159462,147.670380,216.017380,125.667976
27,0,0.989003,2.604194,2.088990,-96.694786,227.053146,127.812012,0.944729,2.256371,2.159307,147.667923,216.022675,125.678421
28,0,0.988730,2.604287,2.088824,-96.694237,227.053574,127.813995,0.944766,2.256348,2.159283,147.670029,216.018066,125.675606
